unique_id,id,date,year,season,site,species,sex,mass,svl,cort_bl,cort_ps,cort_react,bka_bl,bka_ps,bka_react,test,old_bodycon,mean_temp
42,83,4/22/11,2011,Spring,RP,ELE,male,45,433,5.772,8.528,2.756,3.667806918,3.173698214,-0.494108704,17.618,-16.03198471,4.166666667
43,84,4/22/11,2011,Spring,RP,ELE,male,74,500,39.556,45.926,6.37,6.784492588,7.981755986,1.197263398,53.88,26.43258378,4.166666667
44,125,4/27/11,2011,Spring,RP,ELE,female,117,581,4.269,20.717,16.448,3.696780893,6.978193146,3.281412253,NA,71.05246118,2.407407406
45,126,4/27/11,2011,Spring,RP,ELE,female,99,550,30.856,75.47,44.614,3.281412253,38.23468328,34.95327103,NA,55.28134971,2.407407406
46,127,4/27/11,2011,Spring,RP,ELE,male,73,481,59.154,43.109,-16.045,4.199923983,4.941087039,0.741163056,50.649,8.278633138,2.407407406
47,128,4/27/11,2011,Spring,RP,ELE,male,43,430,NA,12.875,NA,74.80174764,4.250461841,-70.5512858,NA,-17.33988598,2.407407406
48,129,4/27/11,2011,Spring,RP,ELE,female,81,555,12.484,17.879,5.395,34.9091931,9.726805954,-25.18238715,NA,75.51023824,2.407407406
49,131,4/28/11,2011,Spring,AD,ELE,female,113,572,20.368,124.356,103.988,NA,NA,NA,NA,65.43665863,5.370370372
50,165,5/2/11,2011,Spring,RP,ELE,male,82,530,38.241,24.862,-13.379,19.36177163,8.013961246,-11.34781038,2.6,49.66418887,4.814814817
51,166,5/2/11,2011,Spring,RP,ELE,male,100,575,80.861,121.713,40.852,10.11540761,8.60618704,-1.50922057,5.076,79.43530034,4.814814817
52,167,5/2/11,2011,Spring,RP,ELE,male,49,445,24.143,50.832,26.689,15.67468846,4.174045609,-11.50064285,20.159,-7.416182156,4.814814817
53,168,5/2/11,2011,Spring,RP,ELE,male,95,502,NA,91.835,NA,NA,NA,NA,NA,10.66554716,4.814814817
54,169,5/2/11,2011,Spring,RP,ELE,female,107,590,4.248,12.842,8.594,3.322949117,4.257528557,0.93457944,NA,88.51295481,4.814814817
55,170,5/2/11,2011,Spring,RP,ELE,female,120,590,28.493,73.583,45.09,2.180685358,5.275181724,3.094496366,NA,77.51431309,4.814814817
56,171,5/2/11,2011,Spring,RP,ELE,female,75,450,1.784,12.908,11.124,6.625129803,8.951194185,2.326064382,NA,-24.41346559,4.814814817
57,173,5/2/11,2011,Spring,RP,ELE,male,48,455,NA,67.668,NA,NA,NA,NA,NA,3.429867206,4.814814817
58,174,5/2/11,2011,Spring,RP,ELE,female,88,550,11.588,22.919,11.331,NA,NA,NA,NA,64.5878927,4.814814817
59,176,5/2/11,2011,Spring,RP,ELE,male,80,502,23.145,14.059,-9.086,15.27350324,3.677340104,-11.59616314,9.465,23.3562876,4.814814817
60,177,5/2/11,2011,Spring,RP,ELE,female,91,560,4.515,31.132,26.617,9.823468328,18.06853583,8.245067502,NA,72.04974461,4.814814817
61,180,5/2/11,2011,Spring,RP,ELE,female,128,615,11.076,20.896,9.82,NA,NA,NA,NA,95.74591819,4.814814817
62,190,5/4/11,2011,Spring,RP,ELE,female,99,560,12.76,40.894,28.134,0.098246164,0,-0.098246164,NA,65.28134971,6.574074072
63,200,5/4/11,2011,Spring,AD,ELE,female,114,600,20.94,62.329,41.389,3.779854621,7.518172378,3.738317757,NA,92.59060927,6.574074072
64,283,5/6/11,2011,Spring,RP,ELE,female,65,505,2.464,30.049,27.585,8.135663754,26.17561382,18.03995007,NA,39.04702804,12.87037037
65,288,5/6/11,2011,Spring,RP,ELE,female,106,560,7.351,11.502,4.151,10.77819392,45.40158136,34.62338744,NA,59.35900417,12.87037037
66,292,5/6/11,2011,Spring,RP,ELE,female,82,530,4.376,34.318,29.942,10.11235955,4.806491885,-5.305867665,NA,49.66418887,12.87037037
67,296,5/7/11,2011,Spring,RP,ELE,female,70,485,1.553,4.509,2.956,5.659592176,12.44277986,6.783187684,NA,14.81678123,13.42592593
68,302,5/11/11,2011,Spring,RP,ELE,female,83,514,3.248,9.357,6.109,NA,NA,NA,NA,32.81813951,6.481481483
69,303,5/11/11,2011,Spring,RP,ELE,female,100,556,4.47,8.388,3.918,NA,NA,NA,NA,60.43530034,6.481481483
70,305,5/11/11,2011,Spring,RP,ELE,female,130,615,5.897,61.205,55.308,NA,NA,NA,NA,94.05381946,6.481481483
71,328,5/17/11,2011,Spring,RP,ELE,female,123,543,21.649,27.173,5.524,7.199334166,4.993757803,-2.205576363,NA,27.976165,7.129629628
72,329,5/17/11,2011,Spring,RP,ELE,female,120,584,1.83,2.099,0.269,5.201831045,0.926040897,-4.275790148,NA,71.51431309,7.129629628
73,352,5/21/11,2011,Spring,RP,ELE,female,126,613,8.754,NA,NA,NA,NA,NA,NA,95.43801691,10.27777778
74,432,9/27/12,2012,Fall,AD,ELE,female,96,565,3.545,16.213,12.668,NA,NA,NA,NA,72.8194978,15.64814815
75,575,9/15/12,2012,Fall,RP,ELE,female,75,502,15.657,NA,NA,NA,NA,NA,NA,27.58653441,18.51851852
76,576,9/15/12,2012,Fall,RP,ELE,female,72,494,15.547,21,5.453,NA,NA,NA,NA,22.1246825,18.51851852
77,577,9/15/12,2012,Fall,RP,ELE,male,80,539,12.474,58.251,45.777,NA,NA,NA,NA,60.3562876,18.51851852
78,581,9/22/12,2012,Fall,RP,ELE,female,63,491,27.42,25.12,-2.3,NA,NA,NA,NA,26.73912677,17.22222222
79,583,9/27/12,2012,Fall,AD,ELE,male,82,559,18.922,91.016,72.094,NA,NA,NA,NA,78.66418887,15.64814815
80,584,9/27/12,2012,Fall,AD,ELE,male,73,495,23.397,19.898,-3.499,NA,NA,NA,NA,22.27863314,15.64814815
81,8,3/29/12,2012,Spring,RP,ELE,male,92,500,40.589,97.035,56.446,21.14777618,26.37015782,5.22238164,77.911,11.20369525,7.592592594
82,22,3/29/12,2012,Spring,RP,ELE,male,61,456,41.308,63.899,22.591,10.15523933,18.0465718,7.89133247,23.872,-6.568774509,7.592592594
83,32,5/13/12,2012,Spring,RP,ELE,male,43,388,28.173,37.828,9.655,65.1444548,24.13793103,-41.00652377,14.031,-59.33988598,12.68518518
84,54,4/10/12,2012,Spring,RP,ELE,male,72,490,79.929,75.817,-4.112,100,100,0,7.59,18.1246825,13.51851852
85,79,3/29/12,2012,Spring,RP,ELE,female,107,561,12.171,16.404,4.233,22.50970246,7.891332471,-14.61836999,NA,59.51295481,7.592592594
86,82,3/29/12,2012,Spring,RP,ELE,male,65,448,42.586,96.265,53.679,20.84498291,17.73842808,-3.10655483,75.825,-17.95297196,7.592592594
87,116.2,3/29/12,2012,Spring,AD,ELE,male,51,430,107.764,202.676,94.912,100,100,0,18.952,-24.10828088,7.592592594
88,128,3/29/12,2012,Spring,RP,ELE,male,69,470,13.412,24.003,10.591,12.14662939,23.33022678,11.18359739,15.76,0.662830589,7.592592594
89,138,4/4/12,2012,Spring,AD,ELE,male,61,545,54.024,62.71,8.686,86.76607642,100,13.23392358,28.645,82.43122549,9.166666667
90,177,4/10/12,2012,Spring,RP,ELE,female,127,615,35.32,61.725,26.405,100,32.39005736,-67.60994264,NA,96.59196755,13.51851852
91,206,3/31/12,2012,Spring,AD,ELE,male,73,485,31.243,68.611,37.368,70.42559801,100,29.57440199,59.338,12.27863314,12.12962963
92,212,4/4/12,2012,Spring,AD,ELE,male,65,498,39.974,81.47,41.496,100,100,0,18.337,32.04702804,9.166666667
93,288,3/29/12,2012,Spring,RP,ELE,male,61,480,48.588,81.261,32.673,12.08449829,17.98695247,5.90245418,21.825,17.43122549,7.592592594
94,462,3/29/12,2012,Spring,RP,ELE,male,72,485,27.3365,NA,NA,14.74773609,NA,NA,43.299,13.1246825,7.592592594
95,463,3/29/12,2012,Spring,RP,ELE,male,73,505,12.891,32.639,19.748,23.86934673,100,76.13065327,NA,32.27863314,7.592592594
96,464,3/29/12,2012,Spring,RP,ELE,male,49,420,6.641,22.041,15.4,63.71543958,18.35973905,-45.35570053,14.831,-32.41618216,7.592592594
97,465,3/29/12,2012,Spring,RP,ELE,male,41,391,15.924,35.144,19.22,14.44723618,19.47236181,5.02512563,34.546,-54.64778725,7.592592594
98,467,3/29/12,2012,Spring,RP,ELE,male,55,432,40.041,64.409,24.368,8.108108108,12.51941597,4.411307862,53.692,-25.49247833,7.592592594
99,469,3/29/12,2012,Spring,AD,ELE,male,53,429,18.841,106.725,87.884,21.73366834,100,78.26633166,41.943,-26.80037961,7.592592594
100,484,3/31/12,2012,Spring,AD,ELE,male,54,431,39.66,73.217,33.557,100,98.24120603,-1.75879397,27.153,-25.64642897,12.12962963
101,486,3/31/12,2012,Spring,AD,ELE,male,48,478,65.633,86.811,21.178,100,100,0,64.256,26.42986721,12.12962963
102,500,3/31/12,2012,Spring,AD,ELE,male,41,417,23.214,88.175,64.961,62.87192755,15.45924968,-47.41267787,43.891,-28.64778725,12.12962963
103,502,3/31/12,2012,Spring,AD,ELE,male,76,511,21.734,89.428,67.694,100,77.74902975,-22.25097025,47.315,35.74048505,12.12962963
104,503,3/31/12,2012,Spring,RP,ELE,male,87,554,19.822,41.308,21.486,24.62311558,100,75.37688442,32.035,69.43394206,12.12962963
105,505,3/31/12,2012,Spring,RP,ELE,male,53,454,22.983,57.401,34.418,100,100,0,70.216,-1.800379607,12.12962963
106,506,3/31/12,2012,Spring,RP,ELE,male,53,455,25.673,19.549,-6.124,32.21497359,24.57284871,-7.64212488,40.111,-0.800379607,12.12962963
107,508,3/31/12,2012,Spring,RP,ELE,male,69,459,16.383,74.799,58.416,6.209573092,8.92626132,2.716688228,18.404,-10.33716941,12.12962963
108,512,4/3/12,2012,Spring,RP,ELE,male,82,512,29.194,152.75,123.556,100,100,0,6.272,31.66418887,4.35185185
109,513,4/3/12,2012,Spring,RP,ELE,male,87,527,18.118,108.037,89.919,24.13199426,20.68866571,-3.44332855,3.864,42.43394206,4.35185185
110,514,4/3/12,2012,Spring,RP,ELE,male,59,475,NA,47.036,NA,0,0,0,18.538,14.12332422,4.35185185
111,515,4/3/12,2012,Spring,RP,ELE,male,59,456,52.948,57.611,4.663,64.3615495,100,35.6384505,65.483,-4.876675784,4.35185185
112,516,4/3/12,2012,Spring,RP,ELE,male,77,529,45.95,65.725,19.775,17.13055954,16.61406026,-0.51649928,2.44,52.89443569,4.35185185
113,517,4/3/12,2012,Spring,RP,ELE,male,43,445,29.307,107.764,78.457,20.91822095,100,79.08177905,38.188,-2.33988598,4.35185185
114,518,4/3/12,2012,Spring,RP,ELE,male,72,500,123.642,134.473,10.831,63.67288379,100,36.32711621,11.944,28.1246825,4.35185185
115,519,4/4/12,2012,Spring,AD,ELE,male,57,450,40.843,66.606,25.763,100,25.50932568,-74.49067432,38.596,-9.184577058,9.166666667
116,520,4/4/12,2012,Spring,AD,ELE,male,65,476,64.385,89.651,25.266,100,93.26959847,-6.73040153,28.037,10.04702804,9.166666667
117,521,4/4/12,2012,Spring,AD,ELE,male,65,496,105.103,175.307,70.204,100,100,0,44.127,30.04702804,9.166666667
118,524,4/4/12,2012,Spring,AD,ELE,male,37,415,26.586,28.943,2.357,3.173996176,0,-3.173996176,73.501,-27.2635898,9.166666667
119,526,4/4/12,2012,Spring,AD,ELE,male,48,448,13.684,87.032,73.348,4.244741874,6.38623327,2.141491396,13.805,-3.570132794,9.166666667
120,527,4/4/12,2012,Spring,AD,ELE,male,55,465,40.562,57.681,17.119,85.42324247,100,14.57675753,16.714,7.507521667,9.166666667
121,538,4/10/12,2012,Spring,RP,ELE,female,72,480,22.548,94.897,72.349,0,1.950286807,1.950286807,NA,8.124682501,13.51851852
122,557,5/13/12,2012,Spring,RP,ELE,female,92,515,44.027,80.538,36.511,73.86934673,51.38190955,-22.48743718,NA,26.20369525,12.68518518
123,558,5/13/12,2012,Spring,RP,ELE,female,81,487,20.168,39.316,19.148,79.12395154,100,20.87604846,NA,7.510238237,12.68518518
124,559,5/13/12,2012,Spring,RP,ELE,female,59,445,6.59,NA,NA,32.40136688,NA,NA,NA,-15.87667578,12.68518518
125,562,5/16/12,2012,Spring,RP,ELE,female,130,581,27.026,107.356,80.33,93.34170854,24.24623116,-69.09547738,NA,60.05381946,19.16666667
126,50,3/30/13,2013,Spring,AD,ELE,male,45,442,82.507,94.938,12.431,NA,NA,NA,11.667,-7.031984705,9.907407406
127,57,NA,2013,Spring,RP,ELE,male,1,NA,104.585,41.567,-63.018,69.0722048,0,-69.0722048,NA,NA,NA
128,59,4/25/13,2013,Spring,RP,ELE,male,76,507,70.654,49.89,-20.764,90.72166144,0,-90.72166144,NA,31.74048505,6.296296294
129,75,NA,2013,Spring,RP,ELE,male,1,NA,0,182.867,182.867,NA,62.11345088,NA,NA,NA,NA
130,243,4/4/13,2013,Spring,AD,ELE,female,116,577,11.929,115.428,103.499,NA,NA,NA,NA,67.89851054,10.18518518
131,432,4/6/13,2013,Spring,AD,ELE,male,49,459,42.689,106.943,64.254,NA,NA,NA,NA,6.583817844,8.333333333
132,514,4/21/13,2013,Spring,RP,ELE,male,59,499,56.779,77.354,20.575,66.95652174,2.608695652,-64.34782609,NA,38.12332422,5.462962961
133,577,4/21/13,2013,Spring,RP,ELE,male,75,539,93.792,90.39,-3.402,74.34782609,0,-74.34782609,NA,64.58653441,5.462962961
134,579,4/21/13,2013,Spring,RP,ELE,male,73,514,39.816,37.704,-2.112,14.7826087,18.04134273,3.25873403,NA,41.27863314,5.462962961
135,631,3/31/13,2013,Spring,AD,ELE,male,37,420,78.073,48.128,-29.945,NA,NA,NA,126.46,-22.2635898,9.166666667
136,633,3/31/13,2013,Spring,AD,ELE,male,48,475,123.798,121.23,-2.568,NA,NA,NA,21.798,23.42986721,9.166666667
137,634,3/31/13,2013,Spring,AD,ELE,female,81,454,153.512,210.144,56.632,NA,NA,NA,NA,-25.48976176,9.166666667
138,635,4/4/13,2013,Spring,AD,ELE,male,75,503,24.033,34.542,10.509,NA,NA,NA,53.491,28.58653441,10.18518518
139,636,4/4/13,2013,Spring,AD,ELE,male,63,511,58.212,NA,NA,NA,NA,NA,50.379,46.73912677,10.18518518
140,710,4/21/13,2013,Spring,RP,ELE,male,72,537,144.461,158.967,14.506,100,NA,NA,NA,65.1246825,5.462962961
141,711,4/21/13,2013,Spring,RP,ELE,male,81,555,93.074,82.854,-10.22,30,0,-30,NA,75.51023824,5.462962961
142,712,4/21/13,2013,Spring,RP,ELE,male,53,460,33.482,21.839,-11.643,0,0,0,NA,4.199620393,5.462962961
143,713,4/21/13,2013,Spring,RP,ELE,male,54,480,66.019,42.616,-23.403,60.86956522,0,-60.86956522,NA,23.35357103,5.462962961
144,714,4/21/13,2013,Spring,RP,ELE,male,48,432,40.013,18.126,-21.887,46.95652174,18.69565217,-28.26086957,NA,-19.57013279,5.462962961
145,719,4/25/13,2013,Spring,RP,ELE,male,23,360,14.928,9.959,-4.969,0,0,0,NA,-70.41889873,6.296296294
146,720,4/25/13,2013,Spring,RP,ELE,male,69,465,NA,110.13,NA,18.04134273,31.57225313,13.5309104,NA,-4.337169411,6.296296294
147,721,4/25/13,2013,Spring,RP,ELE,male,55,460,211.741,127.469,-84.272,58.63407393,31.57225313,-27.0618208,NA,2.507521667,6.296296294
148,722,4/25/13,2013,Spring,RP,ELE,male,46,457,69.462,98.117,28.655,0,28.86607105,28.86607105,NA,7.121965932,6.296296294
149,723,4/25/13,2013,Spring,RP,ELE,male,57,496,118.683,119.648,0.965,55.15469697,56.31448929,1.15979232,NA,36.81542294,6.296296294
150,724,4/25/13,2013,Spring,RP,ELE,male,83,510,43.101,161.08,117.979,79.51033568,31.95885057,-47.55148511,NA,28.81813951,6.296296294
151,725,4/25/13,2013,Spring,RP,ELE,male,80,500,51.44,64.248,12.808,43.55677377,68.68560736,25.12883359,NA,21.3562876,6.296296294
152,726,4/25/13,2013,Spring,RP,ELE,male,51,460,37.846,90.137,52.291,100,17.26814785,-82.73185215,NA,5.891719118,6.296296294
153,727,4/25/13,2013,Spring,RP,ELE,male,82,501,49,55.776,6.776,37.37121473,100,62.62878527,NA,20.66418887,6.296296294
154,728,4/25/13,2013,Spring,RP,ELE,male,54,461,29.971,67.374,37.403,100,43.17017633,-56.82982367,10.685,4.35357103,6.296296294
155,729,4/25/13,2013,Spring,RP,ELE,male,72,477,64.812,69.219,4.407,7.989809291,0,-7.989809291,7.63,5.124682501,6.296296294
156,730,4/25/13,2013,Spring,RP,ELE,male,45,436,NA,40.726,NA,0,32.73204545,32.73204545,53.425,-13.03198471,6.296296294
157,731,4/25/13,2013,Spring,RP,ELE,male,42,415,20.312,84.579,64.267,97.29381792,17.65474529,-79.63907263,NA,-31.49383662,6.296296294
158,732,4/25/13,2013,Spring,RP,ELE,male,55,455,37.04,167.939,130.899,100,36.59801985,-63.40198015,9.682,-2.492478333,6.296296294
159,733,4/25/13,2013,Spring,RP,ELE,male,76,522,147.546,60.995,-86.551,100,100,0,16.321,46.74048505,6.296296294
160,734,4/25/13,2013,Spring,RP,ELE,male,55,465,40.387,88.278,47.891,97.68041536,83.37631008,-14.30410528,NA,7.507521667,6.296296294
161,735,4/25/13,2013,Spring,RP,ELE,male,70,475,23.284,281.514,258.23,100,67.1392176,-32.8607824,13.628,4.816781226,6.296296294
162,740,4/28/13,2013,Spring,CM,ELE,male,84,555,40.186,25.928,-14.258,52.06191745,0,-52.06191745,14.706,72.97209015,13.42592593
163,741,4/28/13,2013,Spring,CM,ELE,male,61,460,24.874,15.56,-9.314,61.72685344,2.190847692,-59.53600575,104.417,-2.568774509,13.42592593
164,742,4/28/13,2013,Spring,CM,ELE,male,102,570,53.787,26.253,-27.534,26.54648641,57.86087905,31.31439264,46.069,72.74320162,13.42592593
165,743,4/28/13,2013,Spring,CM,ELE,female,118,599,0,8.185,8.185,24.61349921,0,-24.61349921,NA,88.20641182,13.42592593
166,744,4/28/13,2013,Spring,CM,ELE,male,89,529,33.059,62.412,29.353,48.19594305,0,-48.19594305,NA,42.74184333,13.42592593
167,745,4/28/13,2013,Spring,CM,ELE,male,49,461,11.474,17.007,5.533,20.74752481,48.96913793,28.22161312,34.741,8.583817844,13.42592593
168,746,4/28/13,2013,Spring,CM,ELE,male,106,580,62.979,112.61,49.631,100,4.123834892,-95.87616511,41.217,79.35900417,13.42592593
169,748,4/28/13,2013,Spring,CM,ELE,female,108,590,42.162,60.376,18.214,52.06191745,47.42274817,-4.63916928,NA,87.66690544,13.42592593
170,749,4/28/13,2013,Spring,CM,ELE,male,93,527,61.118,55.246,-5.872,4.897029772,0,-4.897029772,21.623,37.35764588,13.42592593
171,750,4/28/13,2013,Spring,CM,ELE,male,77,512,78.804,5.464,-73.34,100,31.18565569,-68.81434431,5.685,35.89443569,13.42592593
172,751,4/28/13,2013,Spring,CM,ELE,male,75,505,53.039,58.333,5.294,100,0,-100,8.649,30.58653441,13.42592593
173,753,4/28/13,2013,Spring,CM,ELE,male,110,589,28.936,61.758,32.822,67.1392176,0,-67.1392176,15.816,84.97480672,13.42592593
174,756,4/28/13,2013,Spring,CM,ELE,male,57,475,17.532,57.751,40.219,11.85578369,34.27843521,22.42265152,14.724,15.81542294,13.42592593
175,758,4/29/13,2013,Spring,CM,ELE,male,105,566,42.741,71.481,28.74,26.54648641,55.54129441,28.994808,14,66.20505353,13.33333333
176,759,4/29/13,2013,Spring,CM,ELE,male,102,516,57.026,70.742,13.716,25.00009665,100,74.99990335,7.999,18.74320162,13.33333333
177,760,4/29/13,2013,Spring,CM,ELE,male,84,530,33.089,56.084,22.995,50.1289303,NA,NA,19.491,47.97209015,13.33333333
178,772,4/29/13,2013,Spring,CM,ELE,male,83,530,NA,NA,NA,100,NA,NA,NA,48.81813951,13.33333333
179,7521,4/28/13,2013,Spring,CM,ELE,male,109,592,20.912,44.428,23.516,13.78877089,100,86.21122911,11.2,88.82085608,13.42592593
180,525,10/7/14,2014,Fall,RP,ELE,female,95,550,17.946,31.355,13.409,11.940991,9.41600149,-2.52498951,63.815,58.66554716,14.44444444
181,565,10/8/14,2014,Fall,RP,ELE,female,109,579,42.995,NA,NA,5.312893543,13.20348575,7.890592207,50.117,75.82085608,14.81481482
182,897,10/7/14,2014,Fall,RP,ELE,male,61,471,14.467,31.455,16.988,12.88786206,14.78160419,1.89374213,97.624,8.431225491,14.44444444
183,917,10/9/14,2014,Fall,AD,ELE,male,61,482,20.563,30.392,9.829,100,NA,NA,NA,19.43122549,15
184,930,10/8/14,2014,Fall,RP,ELE,male,43,400,85.948,85.948,0,NA,NA,NA,NA,-47.33988598,14.81481482
185,950,10/7/14,2014,Fall,RP,ELE,male,65,470,17.282,25.054,7.772,3.103527726,5.312893543,2.209365817,59.582,4.04702804,14.44444444
186,951,10/7/14,2014,Fall,RP,ELE,female,63,451,36.683,104.202,67.519,12.25661468,10.04724887,-2.20936581,1.177,-13.26087323,14.44444444
187,952,10/7/14,2014,Fall,RP,ELE,female,29,356,107.221,40.189,-67.032,0,13.83473312,13.83473312,NA,-79.4951949,14.44444444
188,953,10/7/14,2014,Fall,RP,ELE,female,42,423,NA,15.806,NA,NA,NA,NA,2.644,-23.49383662,14.44444444
189,954,10/8/14,2014,Fall,RP,ELE,male,54,457,NA,NA,NA,11.940991,4.997269855,-6.943721145,NA,0.35357103,14.81481482
190,955,10/8/14,2014,Fall,RP,ELE,male,36,385,NA,NA,NA,17.30659369,13.51910944,-3.78748425,NA,-56.41754044,14.81481482
